n.name,n.cancer,n.preeclampsia,n.foldc_cancer,n.foldc_pre,n.regulated_cancer,n.regulated_pre
Crtap Crtapl1 LOC102555086,0,1,null,0.359550158182781,null,up
Creld2,0,1,null,0.359379132588703,null,up
Creg1,0,1,null,0.697601000467937,null,up
Cpne1,0,1,null,0.523804028828938,null,up
Cox5b,0,1,null,0.35727596282959,null,up
Cotl1 Clp,0,1,null,-1.92107645670573,null,down
Coro1c,0,1,null,0.282696406046547,null,up
Copz2,0,1,null,-0.290265719095867,null,down
Comt,0,1,null,-0.483963012695313,null,down
Colec12 Clp1 Nsr2,0,1,null,0.327191352844238,null,up
Col1a1,0,1,null,-1.20248444875082,null,down
Cobll1,0,1,null,-0.322589556376141,null,down
Cnn3,0,1,null,-0.508749961853027,null,down
Cmpk2,0,1,null,-0.381905873616535,null,down
Cmas,0,1,null,0.642579714457192,null,up
Clip1,0,1,null,-0.35033448537191,null,down
Ckap4,0,1,null,0.353693008422852,null,up
Chdh,0,1,null,0.417575518290203,null,up
Cgm4,0,1,null,1.29551792144775,null,up
Ces1c Es2,0,1,null,0.294137001037598,null,up
Ceacam11 LOC292668 rCG_53839,0,1,null,1.18623034159343,null,up
Cdh1,0,1,null,-0.585452079772949,null,down
Cda,0,1,null,0.586912155151367,null,up
Cd5l Fcrl1,0,1,null,0.631077130635578,null,up
Cd59,0,1,null,0.613945325215656,null,up
Cd55 Daf1,0,1,null,-0.671926180521648,null,down
Ccdc51,0,1,null,1.60307916005452,null,up
Cbr1l1,0,1,null,0.527949333190918,null,up
Cavin1 Ptrf,0,1,null,-0.770298639933266,null,down
Cand2,0,1,null,0.514812469482422,null,up
Camk2d,0,1,null,-0.255873362223308,null,down
Calr,0,1,null,0.279118537902832,null,up
C6,0,1,null,0.667230288187664,null,up
C4bpa,0,1,null,0.378341992696129,null,up
C4 C4a,0,1,null,-0.585405985514324,null,down
Btf3 rCG_44623,0,1,null,-0.355542818705242,null,down
Bhmt,0,1,null,-0.626606623331707,null,down
Bgn,0,1,null,-1.40203634897868,null,down
B2m,0,1,null,0.575330416361492,null,up
Atp2b1,0,1,null,-0.386914571126304,null,down
Arsb,0,1,null,0.463860193888348,null,up
Arpp19,0,1,null,0.361403147379558,null,up
Aqp1 Chip28,0,1,null,0.454021135965984,null,up
Ankrd13a rCG_21176,0,1,null,-0.366556803385418,null,down
Ank3,0,1,null,-0.69746430714925,null,down
Amot,0,1,null,-0.501172701517742,null,down
Alg5,0,1,null,0.396921793619789,null,up
Aldoc,0,1,null,0.319010734558105,null,up
Aldh9a1,0,1,null,0.443267504374184,null,up
Aldh2 Acad10,0,1,null,-0.441715240478516,null,down
Ak2 AK2,0,1,null,0.287706693013508,null,up
Aif1l,0,1,null,-0.366202990214031,null,down
Agt Serpina8,0,1,null,0.296536445617676,null,up
Afap1,0,1,null,-0.356844902038574,null,down
Adk,0,1,null,-0.368975003560383,null,down
Adh1 Adh-1,0,1,null,0.661202748616535,null,up
Ada,0,1,null,0.936429341634117,null,up
Abracl,0,1,null,-1.28357855478923,null,down
Abhd12,0,1,null,0.281883557637531,null,up
Abcb1a Abcb1 Abcb4,0,1,null,-0.671734809875488,null,down
AABR07060872.1,0,1,null,0.754191398620605,null,up
Slc40a1,0,1,null,-0.492350896199543,null,down
Gpx3,0,1,null,-0.320738792419434,null,down
P23764,0,1,null,-0.290762583414711,null,down
Pdxk,0,1,null,0.319708188374836,null,up
Rpl34,0,1,null,0.400813420613606,null,up
Casp6,0,1,null,0.559243202209473,null,up
Gar1,0,1,null,0.58096981048584,null,up
Pappa2,0,1,null,0.811140378316242,null,up
Kng1,0,1,null,0.842979749043781,null,up
